"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Mar-2022","    16593.10","    16678.50","    16478.65","    16605.95","      517723542","        39407.44"
"03-Mar-2022","    16723.20","    16768.95","    16442.95","    16498.05","      442068263","        31413.00"
"04-Mar-2022","    16339.45","    16456.00","    16133.80","    16245.35","      456143040","        34821.10"
"07-Mar-2022","    15867.95","    15944.60","    15711.45","    15863.15","      585403660","        38038.75"
"08-Mar-2022","    15747.75","    16028.75","    15671.45","    16013.45","      543600673","        38704.40"
"09-Mar-2022","    16078.00","    16418.05","    15990.00","    16345.35","      462231428","        35329.34"
"10-Mar-2022","    16757.10","    16757.30","    16447.90","    16594.90","      486445481","        35513.73"
"11-Mar-2022","    16528.80","    16694.40","    16470.90","    16630.45","      343717045","        24720.34"
"14-Mar-2022","    16633.70","    16887.95","    16606.50","    16871.30","      314669685","        23824.02"
"15-Mar-2022","    16900.65","    16927.75","    16555.00","    16663.00","      381631902","        29731.09"
"16-Mar-2022","    16876.65","    16987.90","    16837.85","    16975.35","      259973396","        21361.32"
"17-Mar-2022","    17202.90","    17344.60","    17175.75","    17287.05","      448335248","        35367.28"
"21-Mar-2022","    17329.50","    17353.35","    17096.40","    17117.60","      285451208","        22886.39"
"22-Mar-2022","    17120.40","    17334.40","    17006.30","    17315.50","      338263468","        27347.60"
"23-Mar-2022","    17405.05","    17442.40","    17199.60","    17245.65","      292120348","        24705.28"
"24-Mar-2022","    17094.95","    17291.75","    17091.15","    17222.75","      290280124","        25011.72"
"25-Mar-2022","    17289.00","    17294.90","    17076.55","    17153.00","      237115741","        20031.39"
"28-Mar-2022","    17181.85","    17235.10","    17003.90","    17222.00","      253240837","        19976.26"
